,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0.0,0.0,0.0,307.76065,0.0,154.20395,0.0,0.0,0.0,131.65762,1046.0496,356.29764,733.9221,456.04175,0.0,481.4129,0.0,388.472,0.0,376.95798,216.2462,10.583427,0.0,0.0,12.611129,0.0,0.0,559.3065,0.0,0.0,0.0,0.0,147.1258,377.9198,746.2323,234.93661,620.8469,547.4341,0.0,420.71426
1,0.0,0.0,0.0,154.1625,0.0,30.161858,0.0,0.0,0.0,180.64517,544.42017,363.12662,656.5893,425.40445,0.0,494.57364,0.0,156.61496,0.0,465.09915,264.1005,41.203636,0.0,0.0,0.0,0.0,0.0,1173.1656,0.0,226.28464,0.0,0.0,0.0,342.6052,874.6078,285.30215,949.424,784.7828,238.54071,541.2885
2,0.0,0.0,0.0,554.512,0.0,86.11605,0.0,0.0,0.0,60.516747,771.3332,69.38723,453.29877,270.28113,0.0,325.3292,0.0,0.0,0.0,249.90549,0.0,0.0,0.0,0.0,0.0,0.0,250.1639,404.2786,0.0,0.0,0.0,0.0,0.0,889.4375,1286.4182,0.0,1094.5779,854.06305,616.82776,479.48975
3,0.0,0.0,0.0,379.2472,0.0,437.0276,142.82709,0.0,0.0,332.9114,457.60486,467.11795,811.18854,699.811,0.0,133.47226,0.0,303.74146,0.0,350.34036,228.97185,397.27197,0.0,0.0,0.0,0.0,620.0754,673.1968,415.86502,0.0,0.0,0.0,0.0,375.1251,650.88525,0.0,748.3354,656.31494,0.0,611.2735
4,0.0,131.65762,0.0,356.29764,0.0,0.0,0.0,0.0,0.0,0.0,1046.0496,376.95798,733.9221,456.04175,0.0,481.4129,0.0,388.472,0.0,559.3065,216.2462,10.583427,0.0,0.0,12.611129,0.0,746.2323,234.93661,620.8469,547.4341,0.0,420.71426,147.1258,377.9198,0.0,91.512596,338.9086,300.28946,0.0,215.7687
5,0.0,12.121789,0.0,66.91213,170.20763,67.95254,0.0,0.0,0.0,180.64517,544.42017,426.923,656.5893,425.40445,0.0,494.57364,0.0,156.61496,0.0,1173.1656,264.1005,226.28464,0.0,0.0,0.0,0.0,874.6078,610.1969,949.424,784.7828,0.0,541.2885,0.0,342.6052,0.0,378.72684,0.0,152.61398,238.54071,0.0
6,0.0,0.0,771.3332,197.04996,453.29877,95.28036,0.0,325.3292,0.0,60.516747,148.74086,249.90549,318.3699,270.28113,0.0,0.0,0.0,0.0,0.0,404.2786,0.0,0.0,0.0,0.0,0.0,32.813835,1286.4182,213.21805,1094.5779,854.06305,0.0,479.48975,0.0,889.4375,0.0,935.7404,0.0,313.74255,616.82776,0.0
7,0.0,332.9114,457.60486,0.0,811.18854,699.811,142.82709,133.47226,0.0,303.74146,0.0,467.11795,228.97185,397.27197,0.0,0.0,0.0,0.0,0.0,673.1968,0.0,0.0,0.0,0.0,0.0,375.1251,650.88525,177.21085,748.3354,656.31494,0.0,611.2735,0.0,0.0,0.0,239.79532,0.0,201.34763,0.0,0.0
8,0.0,131.65762,1046.0496,356.29764,733.9221,456.04175,0.0,481.4129,0.0,388.472,0.0,376.95798,216.2462,10.583427,0.0,0.0,12.611129,0.0,0.0,559.3065,0.0,0.0,0.0,0.0,147.1258,377.9198,746.2323,234.93661,620.8469,547.4341,0.0,420.71426,0.0,0.0,0.0,91.512596,0.0,300.28946,0.0,0.0
9,0.0,180.64517,544.42017,363.12662,656.5893,425.40445,0.0,494.57364,0.0,156.61496,0.0,465.09915,264.1005,41.203636,0.0,0.0,0.0,0.0,0.0,1173.1656,0.0,226.28464,0.0,0.0,0.0,342.6052,874.6078,285.30215,949.424,784.7828,238.54071,541.2885,51.338863,0.0,0.0,978.6094,0.0,0.0,0.0,0.0
10,0.0,60.516747,771.3332,69.38723,453.29877,270.28113,0.0,325.3292,0.0,0.0,0.0,249.90549,0.0,0.0,0.0,0.0,0.0,0.0,250.1639,404.2786,0.0,0.0,0.0,0.0,0.0,889.4375,1286.4182,0.0,1094.5779,854.06305,616.82776,479.48975,0.0,0.0,0.0,935.7404,0.0,0.0,0.0,0.0
11,0.0,332.9114,457.60486,467.11795,811.18854,699.811,0.0,133.47226,0.0,303.74146,0.0,350.34036,228.97185,397.27197,0.0,0.0,0.0,0.0,620.0754,673.1968,415.86502,0.0,0.0,0.0,0.0,375.1251,650.88525,0.0,748.3354,656.31494,0.0,611.2735,0.0,0.0,697.1045,413.84567,0.0,0.0,0.0,0.0
