Date,Open,High,Low,Close,Adj Close,Volume
2018-08-09,54.099998,54.500000,53.650002,54.500000,48.486439,81197
2018-08-10,54.400002,54.750000,54.099998,54.450001,48.441956,102682
2018-08-13,54.450001,54.700001,53.650002,54.500000,48.486439,89142
2018-08-14,54.700001,55.000000,53.799999,54.049999,48.086086,77691
2018-08-15,54.000000,54.150002,52.549999,52.750000,46.929535,70044
2018-08-16,53.150002,53.150002,52.150002,52.150002,46.395737,66741
2018-08-17,52.150002,52.200001,51.750000,52.049999,46.306770,36835
2018-08-20,52.849998,53.700001,51.750000,53.650002,47.730228,127676
2018-08-21,53.549999,53.599998,52.599998,53.000000,47.151947,101783
2018-08-22,53.000000,54.099998,52.799999,54.000000,48.041607,89260
2018-08-23,54.299999,54.650002,54.099998,54.349998,48.352982,88244
2018-08-24,54.599998,55.500000,54.549999,55.200001,49.109203,80318
2018-08-27,57.000000,57.950001,55.950001,57.700001,51.333347,121223
2018-08-28,57.700001,58.049999,57.500000,57.599998,51.244377,144908
2018-08-29,57.799999,58.099998,57.450001,57.849998,51.466793,68491
2018-08-30,57.849998,58.099998,57.200001,57.200001,50.888515,55674
2018-08-31,57.200001,57.250000,56.200001,56.349998,50.132309,28015
2018-09-03,57.049999,57.049999,56.250000,56.500000,50.265751,50940
2018-09-04,56.900002,56.900002,55.500000,55.849998,49.687473,52538
2018-09-05,55.950001,55.950001,55.099998,55.099998,49.020233,51824
2018-09-06,55.000000,55.150002,54.200001,54.650002,48.619888,69658
2018-09-07,54.500000,54.650002,54.099998,54.650002,48.619888,98465
2018-09-10,54.549999,54.549999,54.099998,54.400002,48.397472,38889
2018-09-11,54.400002,54.599998,54.150002,54.400002,48.397472,68806
2018-09-12,54.400002,54.950001,53.599998,54.150002,48.175056,79015
2018-09-13,54.299999,54.299999,53.750000,53.849998,47.908161,116752
2018-09-14,53.900002,54.549999,53.549999,54.549999,48.530922,100447
2018-09-17,54.549999,54.549999,54.150002,54.500000,48.486439,59516
2018-09-18,54.500000,55.099998,54.349998,55.099998,49.020233,77779
2018-09-19,55.099998,55.099998,54.799999,55.000000,48.931271,104289
2018-09-20,55.000000,55.349998,54.849998,55.000000,48.931271,80274
2018-09-21,55.150002,56.750000,55.099998,56.750000,50.488174,224618
2018-09-24,56.700001,56.700001,55.799999,56.500000,50.265751,72101
2018-09-25,58.799999,58.799999,56.700001,57.250000,50.932999,197561
2018-09-26,57.349998,58.099998,57.099998,58.099998,51.689209,141211
2018-09-27,58.250000,58.250000,57.000000,57.150002,50.844032,63853
2018-09-28,56.849998,56.849998,55.650002,56.650002,50.399208,80186
2018-10-01,56.849998,59.299999,56.400002,56.750000,50.488174,79523
2018-10-02,56.450001,56.700001,55.950001,56.650002,50.399208,74089
2018-10-03,56.650002,56.900002,56.349998,56.549999,50.310238,31142
2018-10-04,56.250000,56.900002,56.000000,56.900002,50.621624,56813
2018-10-05,56.849998,56.849998,55.650002,56.099998,49.909889,104816
2018-10-08,56.099998,56.250000,55.799999,55.900002,49.731960,72450
2018-10-09,55.799999,55.950001,54.750000,55.299999,49.198166,66415
2018-10-10,55.500000,55.500000,54.099998,54.150002,48.175056,116748
2018-10-11,54.099998,54.650002,52.950001,54.000000,48.041607,166897
2018-10-12,54.400002,54.750000,53.700001,53.750000,47.819195,89554
2018-10-15,53.500000,54.099998,53.500000,54.049999,48.086086,107470
2018-10-16,53.950001,55.150002,53.500000,55.150002,49.064716,112747
2018-10-17,55.150002,56.500000,55.150002,56.200001,49.998856,113740
2018-10-18,56.450001,56.450001,55.299999,55.549999,49.420582,69881
2018-10-19,55.750000,55.750000,54.900002,55.400002,49.287132,44881
2018-10-22,55.450001,55.700001,54.700001,54.799999,48.753334,33591
2018-10-23,54.150002,54.150002,53.299999,53.750000,47.819195,87016
2018-10-24,53.700001,54.349998,53.200001,53.250000,47.374363,57427
2018-10-25,53.000000,54.599998,52.500000,54.000000,48.041607,105042
2018-10-26,53.349998,53.950001,52.150002,53.549999,47.641258,91112
2018-10-29,53.599998,54.049999,53.500000,53.700001,47.774708,40018
2018-10-30,53.099998,53.849998,52.450001,53.750000,47.819195,77862
2018-10-31,54.049999,54.650002,53.549999,54.450001,48.441956,119294
2018-11-01,54.549999,55.500000,54.349998,55.099998,49.020233,56169
2018-11-02,55.549999,57.799999,55.549999,56.799999,50.532654,66497
2018-11-05,56.450001,56.900002,55.500000,56.049999,49.865406,59136
2018-11-06,56.049999,56.450001,55.700001,55.799999,49.642986,55680
2018-11-07,55.799999,56.500000,55.349998,55.500000,49.376095,132016
2018-11-08,55.849998,56.049999,54.150002,54.200001,48.219540,126099
2018-11-09,54.099998,54.500000,53.450001,53.450001,47.552296,122302
2018-11-12,54.599998,54.599998,52.299999,53.150002,47.285397,160626
2018-11-13,53.099998,54.250000,52.900002,54.000000,48.041607,134521
2018-11-14,54.049999,54.700001,53.500000,53.849998,47.908161,142577
2018-11-15,53.799999,54.200001,52.900002,53.400002,47.507816,118670
2018-11-16,53.400002,54.400002,53.400002,53.650002,47.730228,63951
2018-11-19,54.150002,54.400002,52.700001,52.849998,47.018501,57821
2018-11-20,52.500000,52.849998,52.099998,52.200001,46.440220,92294
2018-11-21,52.500000,52.799999,52.250000,52.599998,46.796078,54733
2018-11-22,52.400002,52.700001,52.000000,52.200001,46.440220,83052
2018-11-23,52.000000,52.349998,51.900002,52.150002,46.395737,44502
2018-11-26,52.299999,52.450001,51.750000,52.200001,46.440220,67817
2018-11-27,52.000000,52.250000,50.200001,50.750000,45.150211,156598
2018-11-28,51.099998,51.549999,50.500000,51.349998,45.684006,54358
2018-11-29,51.650002,52.150002,51.650002,52.049999,46.306770,58531
2018-11-30,52.000000,52.299999,51.599998,51.700001,45.995396,95756
2018-12-03,52.750000,52.900002,52.200001,52.250000,46.484703,68503
2018-12-04,51.799999,52.400002,51.299999,51.400002,45.728493,85163
2018-12-05,51.099998,51.250000,50.599998,50.950001,45.328148,57459
2018-12-06,50.700001,50.700001,48.700001,48.900002,43.504349,97951
2018-12-07,49.240002,49.700001,48.500000,48.500000,43.148479,116843
2018-12-10,48.500000,48.900002,48.099998,48.139999,42.828205,89554
2018-12-11,48.360001,48.400002,47.380001,47.380001,42.152061,115672
2018-12-12,47.740002,48.700001,47.299999,48.340000,43.006134,106879
2018-12-13,48.500000,49.860001,48.240002,49.139999,43.717861,131100
2018-12-14,48.720001,49.139999,48.320000,48.860001,43.468761,70658
2018-12-17,48.919998,49.139999,48.119999,48.639999,43.273029,100430
2018-12-18,48.639999,49.200001,48.080002,48.799999,43.415382,121233
2018-12-19,48.799999,49.360001,48.259998,49.279999,43.842415,150149
2018-12-20,47.240002,47.919998,46.400002,47.099998,41.902954,210370
2018-12-21,46.480000,47.939999,46.480000,47.439999,42.205441,106951
2018-12-24,47.880001,47.880001,47.080002,47.540001,42.294411,17900
2018-12-27,47.799999,49.160000,47.799999,49.160000,43.735657,155308
2018-12-28,49.500000,50.250000,49.060001,49.980000,44.465179,175820
2018-12-31,50.250000,50.299999,49.799999,50.299999,44.749863,35034
2019-01-02,50.000000,51.500000,49.380001,51.049999,45.417110,101097
2019-01-03,51.150002,51.150002,50.200001,50.450001,44.883316,73776
2019-01-04,50.450001,50.950001,50.250000,50.700001,45.105728,104843
2019-01-07,51.049999,51.400002,50.299999,50.450001,44.883316,120435
2019-01-08,49.959999,50.900002,49.740002,50.700001,45.105728,117455
2019-01-09,50.700001,51.950001,50.700001,51.799999,46.084358,78371
2019-01-10,51.799999,52.250000,51.349998,52.000000,46.262287,117540
2019-01-11,52.200001,52.700001,51.750000,52.000000,46.262287,77704
2019-01-14,51.500000,52.549999,51.450001,52.549999,46.751598,56921
2019-01-15,53.099998,54.200001,52.900002,53.150002,47.285397,137078
2019-01-16,53.099998,53.349998,52.799999,53.099998,47.240910,87649
2019-01-17,52.799999,53.250000,51.849998,52.500000,46.707119,117270
2019-01-18,52.599998,53.799999,52.599998,53.549999,47.641258,88869
2019-01-21,53.400002,53.750000,53.250000,53.549999,47.641258,52649
2019-01-22,53.200001,53.200001,52.549999,52.750000,46.929535,111918
2019-01-23,52.750000,52.849998,52.500000,52.599998,46.796078,72040
2019-01-24,52.500000,54.099998,52.500000,54.099998,48.130573,98333
2019-01-25,54.599998,54.700001,54.150002,54.200001,48.219540,68463
2019-01-28,54.349998,54.349998,53.500000,54.000000,48.041607,57716
2019-01-29,54.299999,54.849998,53.849998,54.500000,48.486439,52445
2019-01-30,53.450001,53.849998,52.849998,53.849998,47.908161,218791
2019-01-31,53.849998,54.799999,53.299999,53.849998,47.908161,85796
2019-02-01,54.500000,54.599998,53.000000,53.000000,47.151947,125558
2019-02-04,52.799999,53.700001,52.700001,53.250000,47.374363,93620
2019-02-05,53.200001,54.000000,53.099998,53.799999,47.863674,81181
2019-02-06,53.750000,53.900002,53.299999,53.400002,47.507816,82407
2019-02-07,53.450001,53.599998,52.799999,52.799999,46.974014,66438
2019-02-08,53.349998,53.349998,52.099998,52.500000,46.707119,74092
2019-02-11,52.900002,53.000000,52.200001,52.549999,46.751598,70015
